"macaddress"
"22:d9:e4:4b:ca:fb"
" 10:07:b6:93:b3:42"
" 7a:17:4b:1d:06:22"
" a4:4b:d5:69:59:99"
" 96:d9:8c:b7:55:0a"
" 20:64:cb:6c:f2:91"
" 7a:bd:04:6f:68:31"
" 00:ec:0a:8e:41:7b"
" 9e:a3:b1:78:18:6c"
" 22:1b:bb:9e:68:f0"
" 26:ff:29:95:b0:a8"
" 0a:54:4c:3c:c3:ae"
" 78:3a:84:9f:a2:6c"
" ae:3b:38:dd:df:94"
" be:4c:71:3e:ef:fa"
" 08:c5:e1:1e:36:9b"
" 1c:42:7d:eb:07:5d"
""
" 70:5e:55:5f:16:35"
" 3a:fc:65:0d:9a:ea"
" 00:00:00:00:00:00"
" 08:25:25:3c:1f:38"
" e2:0d:c9:0b:4b:29"
" ea:5e:0c:ee:3c:c5"
" 0c:f3:46:1c:85:9d"
" 76:b9:b8:9d:e3:10"
" 92:f6:c2:91:d3:9c"
" 0a:a0:cb:87:21:6e"
" 58:85:e9:a6:ca:8b"
" 0c:f3:46:7e:22:63"
"b4:c4:fc:9b:d1:fe"
" 2e:bb:31:70:76:e1"
" ca:f5:f8:5f:b2:77"
" 3e:58:6d:f6:59:18"
" 80:8a:8b:40:29:25"
" 04:d1:3a:bd:d1:b9"
" 36:d1:f5:62:48:91"
" 62:89:ac:46:4a:77"
" da:45:7d:cc:6c:2f"
" e2:6d:a3:ce:05:df"
" a6:fd:0c:70:fa:43"
" 4e:a9:f1:8f:df:94"
" b4:c4:fc:ac:1d:52"
"98:c8:b8:47:fb:f9"
" 20:f4:78:bb:f8:fe"
" 90:78:b2:bf:3f:b7"
" 9e:ea:fe:cc:7f:9f"
" c8:f2:30:dd:c8:e3"
" 4c:63:71:3f:86:94"
" 9a:2b:ae:35:aa:fb"
" 20:74:54:83:08:dd"
" 34:1c:f0:6e:5e:8c"
" 4e:1a:38:2d:a5:f8"
" 70:b7:aa:72:f5:cf"
" f6:3a:40:21:1f:42"
" e8:5a:8b:51:c2:01"
" dc:b7:2e:2c:56:14"
" 76:d4:de:61:27:e5"
" 02:1b:a8:9c:6a:df"
" 82:ac:17:05:04:93"
" 00:ec:0a:23:b6:07"
" 0a:77:74:0e:da:56"
" 20:a6:0c:bd:03:6a"
" 3c:57:6c:6d:f6:d6"
" 48:b8:a3:93:91:2a"
" 70:5e:55:28:9b:c1"
" 82:30:2a:1e:77:de"
" 58:85:e9:6f:cf:b3"
" 22:b2:c8:af:68:ba"
" 0c:f3:46:d2:9d:cd"
" 70:3a:51:4e:8d:fe"
" 52:b2:40:b5:a5:66"
" e2:ef:23:21:90:32"
" 18:d7:17:2c:7d:ab"
" ba:0b:7b:39:3c:2a"
" 06:6b:c7:a7:cc:b6"
"20:34:fb:7e:8c:d9"
" 16:cc:99:86:17:13"
" 5a:e9:c2:ba:98:9f"
" a6:a9:c9:48:fc:d1"
" e8:5a:8b:54:3d:eb"
" 44:46:87:aa:d7:1d"
" c8:3d:dc:c7:85:4a"
" f2:f8:49:ac:64:d7"
" 82:c9:73:50:5e:42"
" ac:c1:ee:ba:2f:73"
" 06:86:4e:d4:6f:9b"
" f2:da:e7:26:8a:5d"
" 7c:03:5e:2c:b7:f8"
" ce:9c:93:56:f2:66"
" ec:01:ee:de:cf:ad"
" 94:54:ce:e7:fe:07"
" 66:7b:12:d6:89:89"
" d8:1d:72:22:eb:14"
" 70:dd:a8:ab:38:5c"
" 9c:28:f7:de:84:c2"
" 5a:62:dc:e9:e3:a3"
" 02:85:f4:81:63:14"
"e8:5a:8b:54:3d:eb"
"fa:eb:2a:1e:15:04"
" 6e:41:a4:3a:75:1c"
" e0:cc:f8:45:ef:ea"
" a2:d2:a0:f7:36:89"
" 32:26:52:6c:f9:75"
" c6:11:df:d5:bb:c5"
" 48:fd:a3:25:65:d1"
" 1e:f5:2e:5b:90:0c"
" 70:bb:e9:28:de:c4"
" 56:35:93:bc:e0:4a"
" 20:34:fb:84:a0:45"
" 42:ec:44:8e:e4:7d"
"e6:7b:5e:cf:34:c2"
"bc:41:01:81:2c:80"
"26:17:0f:f2:25:36"
" 42:f1:19:41:5d:f8"
" 36:49:84:9e:af:b5"
" 90:2b:d2:fa:33:a9"
" 30:94:35:22:10:39"
" 50:80:4a:1f:61:15"
" c4:b3:01:a9:86:96"
" 72:20:f0:69:8a:f3"
" 2c:a9:f0:80:b3:e3"
" 0c:e0:dc:93:ea:37"
" e6:a8:7e:a2:2e:5f"
" 3a:d2:99:f3:4e:05"
" 44:46:87:72:2f:cb"
" ca:6c:b1:74:d1:56"
" d6:61:99:6d:b5:24"
" 5e:84:07:1e:a9:f6"
" f0:76:6f:db:cc:fc"
" 28:02:d8:8b:90:a8"
" 8a:64:17:f0:69:04"
" 18:19:d6:8d:6e:ce"
" 7e:2e:83:5d:61:b5"
" c2:03:2f:d0:cf:5e"
" 96:c3:0f:c4:f7:50"
" 2e:01:81:4b:9d:d7"
" 96:a9:fe:79:7a:16"
"36:81:97:1d:22:70"
" 30:94:35:28:f4:65"
" 04:c8:07:68:8a:d2"
" 5a:4f:1d:7b:b9:f8"
" dc:b7:2e:93:96:00"
" 02:f4:f2:4a:66:22"
" 10:07:b6:85:9e:8f"
" 9c:6b:72:31:0b:5f"
" f8:e7:a0:39:7f:b1"
" 54:0e:2d:15:1a:e7"
" ec:01:ee:d5:1a:d7"
" d2:17:09:05:9b:e1"
" 7e:b2:1c:f5:7b:c9"
" d0:04:01:23:94:0e"
" 20:f4:78:b0:57:71"
" 20:74:54:21:2f:75"
" 3e:b4:a5:3a:04:e5"
" ca:42:b7:bc:99:ad"
" ea:0a:a0:9f:c5:dd"
" 20:34:fb:53:2c:77"
" 6c:24:a6:83:f8:ed"
" 04:f1:28:3e:6b:50"
" 7e:4b:29:0a:41:0a"
" c0:f4:e6:c5:d0:7e"
" 70:3c:69:01:8f:1c"
" be:2b:40:bb:e0:a1"
" 08:25:25:c5:20:c2"
" aa:65:8c:1b:a6:28"
"20:34:fb:54:27:c3"
" 00:6f:64:6b:e8:9c"
" 18:19:d6:1e:dd:f4"
" 6e:88:38:52:7f:b9"
" fa:0a:90:6e:6b:79"
" a0:4c:5b:d0:4f:d3"
"ea:8f:df:1b:68:88"
" fa:6f:5d:90:0a:39"
" 90:78:b2:d8:28:92"
" 20:a6:0c:3c:96:d5"
" b8:de:5e:02:68:47"
" 8e:56:29:53:21:e9"
" b4:c4:fc:9f:56:a4"
" da:b7:00:b4:77:31"
" 70:b7:aa:40:c3:cf"
" 9c:28:f7:2e:4f:06"
" 4a:86:f1:7c:15:fc"
" c2:a8:1b:f7:9f:61"
" ec:8c:9a:cb:36:8c"
" 80:fb:f0:dd:c4:dd"
" 9e:62:c7:1f:4d:3a"
" f8:84:f2:d8:ec:f3"
" 5a:f1:06:b2:8a:8f"
" 0c:9d:92:a3:9b:80"
" 72:7e:58:0b:96:62"
" a4:4b:d5:f9:d5:db"
" 68:c4:4d:68:06:3a"
" 3e:63:e1:50:43:fa"
" a4:4b:d5:41:14:a8"
" 4e:70:92:9b:4c:b0"
